timestamp,product,price,rsi,ema9,ema21,atr,atrPct,bbLower,bbUpper,trend,ofi,arbSpread,socialScore,btcPrice,btcRsi,action,confidence,outcome_5m,outcome_15m,outcome_1h
1789922854562,AVAX,11.15800000,67.70,11.13000000,10.85000000,0.26000000,2.3000,10.15000000,11.56000000,UPTREND,0.0000,0.0469,0.3260,81314.27,77.04,SELL,0.8900,0.9231,0.8245,-0.5646
1789922854789,SUI,0.91730000,88.70,0.88000000,0.85000000,0.01000000,1.4400,0.78000000,0.91000000,UPTREND,0.0000,0.0772,0.3260,81314.27,77.04,SELL,0.8700,-1.1556,-0.1962,-1.4390
1789922854816,HYPE,93.15000000,77.80,92.44000000,91.83000000,0.44000000,0.4700,89.90000000,93.22000000,UPTREND,0.0000,-0.0260,0.7060,81314.27,77.04,HOLD,0.5000,-0.0322,-0.0537,-0.3328
1789922854849,HBAR,0.08758000,60.00,0.09000000,0.09000000,0.00000000,2.2400,0.08000000,0.09000000,UPTREND,0.0000,-0.0146,0.3260,81314.27,77.04,HOLD,0.5000,-0.5367,0.3197,-0.5252
1789922854882,VVV,28.20480000,46.20,28.49000000,28.58000000,0.61000000,2.1600,27.75000000,29.84000000,DOWNTREND,0.0000,0.0874,0.3260,81314.27,77.04,HOLD,0.5000,-0.6534,-0.5517,0.4209
1789922854909,UNI,8.72830000,53.20,8.72000000,8.70000000,0.09000000,1.0700,8.50000000,8.81000000,UPTREND,0.0000,0.0035,0.3260,81314.27,77.04,HOLD,0.5000,1.1709,0.3449,0.4972
1789922855030,DOGE,0.08755000,84.60,0.09000000,0.09000000,0.00000000,0.4900,0.08000000,0.09000000,UPTREND,0.0000,0.0118,0.3260,81314.27,77.04,SELL,0.7200,-0.1256,-0.0685,
1789922855059,ENA,0.21925000,77.40,0.21000000,0.21000000,0.00000000,1.6400,0.19000000,0.22000000,UPTREND,0.0000,-0.1078,0.3260,81314.27,77.04,HOLD,0.5000,0.9213,1.4641,3.7172
1789922855088,LINK,12.54400000,86.40,12.41000000,12.27000000,0.08000000,0.6300,11.88000000,12.57000000,UPTREND,0.0000,0.0035,0.3260,81314.27,77.04,HOLD,0.5000,0.0638,-0.3189,-0.4863
1789922884010,BTC,81281.32000000,74.90,81067.93000000,80824.20000000,212.86000000,0.2600,80087.91000000,81380.38000000,UPTREND,0.0000,-0.0144,0.5780,81314.27,77.04,HOLD,0.5000,0.0143,-0.0093,0.1116
1789922884046,ETH,2637.30000000,77.90,2620.32000000,2603.39000000,12.25000000,0.4600,2550.89000000,2641.97000000,UPTREND,0.0000,-0.0072,0.3800,81314.27,77.04,HOLD,0.5000,-0.0038,0.0698,-0.1244
1789922884188,ZEC,1447.14000000,52.80,1445.51000000,1444.24000000,11.18000000,0.7700,1431.89000000,1455.71000000,SIDEWAYS,0.0000,-0.0066,0.3340,81314.27,77.04,HOLD,0.5000,0.1783,-0.0636,0.7325
